1.0, 1.0, 3.0, 75.0, 1937.0, 0.8767, 2.6503, 0.0828, 4.2144, 0.0405, 4.4591, 2.8531
5.0, 1.0, 3.0, 7.0, 241.0, 0.9092, 2.4039, 0.0908, 4.1474, 0.0000, 0.0000, 2.5623
2.0, 3.0, 3.0, 21.0, 276.0, 1.0000, 2.9951, 0.0000, 0.0000, 0.0000, 0.0000, 2.9951
2.0, 3.0, 3.0, 12.0, 136.0, 1.0000, 2.4262, 0.0000, 0.0000, 0.0000, 0.0000, 2.4262
3.0, 6.0, 3.0, 11.0, 63.0, 1.0000, 1.9290, 0.0000, 0.0000, 0.0000, 0.0000, 1.9290
1.0, 8.0, 3.0, 73.0, 1120.0, 0.9284, 2.4932, 0.0449, 4.2101, 0.0266, 4.6276, 2.6272
3.0, 10.0, 3.0, 13.0, 155.0, 1.0000, 2.5113, 0.0000, 0.0000, 0.0000, 0.0000, 2.5113
2.0, 10.0, 3.0, 16.0, 143.0, 1.0000, 2.7760, 0.0000, 0.0000, 0.0000, 0.0000, 2.7760
3.0, 10.0, 3.0, 43.0, 583.0, 1.0000, 2.6598, 0.0000, 0.0000, 0.0000, 0.0000, 2.6598
2.0, 10.0, 3.0, 10.0, 71.0, 1.0000, 2.2063, 0.0000, 0.0000, 0.0000, 0.0000, 2.2063
2.0, 10.0, 3.0, 1.0, 21.0, 1.0000, 1.9918, 0.0000, 0.0000, 0.0000, 0.0000, 1.9918
2.0, 10.0, 3.0, 1.0, 22.0, 1.0000, 2.0481, 0.0000, 0.0000, 0.0000, 0.0000, 2.0481
1.0, 11.0, 3.0, 27.0, 458.0, 0.9971, 2.2735, 0.0020, 4.0000, 0.0009, 4.0000, 2.2786
2.0, 11.0, 3.0, 8.0, 85.0, 1.0000, 2.8934, 0.0000, 0.0000, 0.0000, 0.0000, 2.8934
2.0, 11.0, 3.0, 1.0, 21.0, 1.0000, 0.6947, 0.0000, 0.0000, 0.0000, 0.0000, 0.6947
2.0, 11.0, 3.0, 9.0, 58.0, 1.0000, 2.0186, 0.0000, 0.0000, 0.0000, 0.0000, 2.0186
2.0, 11.0, 3.0, 7.0, 55.0, 1.0000, 2.4371, 0.0000, 0.0000, 0.0000, 0.0000, 2.4371
2.0, 11.0, 3.0, 4.0, 35.0, 1.0000, 2.7228, 0.0000, 0.0000, 0.0000, 0.0000, 2.7228
1.0, 1.0, 4.0, 23.0, 688.0, 0.9245, 2.3054, 0.0575, 4.2385, 0.0179, 4.5000, 2.4560
5.0, 1.0, 4.0, 3.0, 108.0, 1.0000, 2.1180, 0.0000, 0.0000, 0.0000, 0.0000, 2.1180
1.0, 8.0, 4.0, 8.0, 171.0, 1.0000, 2.2831, 0.0000, 0.0000, 0.0000, 0.0000, 2.2831
2.0, 10.0, 4.0, 6.0, 86.0, 1.0000, 2.1951, 0.0000, 0.0000, 0.0000, 0.0000, 2.1951
2.0, 10.0, 4.0, 3.0, 41.0, 1.0000, 1.9147, 0.0000, 0.0000, 0.0000, 0.0000, 1.9147
2.0, 10.0, 4.0, 2.0, 22.0, 1.0000, 1.4568, 0.0000, 0.0000, 0.0000, 0.0000, 1.4568
2.0, 10.0, 4.0, 4.0, 74.0, 1.0000, 2.7924, 0.0000, 0.0000, 0.0000, 0.0000, 2.7924
2.0, 10.0, 4.0, 7.0, 98.0, 1.0000, 1.3855, 0.0000, 0.0000, 0.0000, 0.0000, 1.3855
2.0, 10.0, 4.0, 4.0, 61.0, 1.0000, 2.4625, 0.0000, 0.0000, 0.0000, 0.0000, 2.4625
2.0, 10.0, 4.0, 1.0, 32.0, 1.0000, 3.3296, 0.0000, 0.0000, 0.0000, 0.0000, 3.3296
2.0, 10.0, 4.0, 2.0, 20.0, 1.0000, 1.4031, 0.0000, 0.0000, 0.0000, 0.0000, 1.4031
2.0, 11.0, 4.0, 10.0, 146.0, 1.0000, 2.5559, 0.0000, 0.0000, 0.0000, 0.0000, 2.5559
2.0, 11.0, 4.0, 1.0, 8.0, 1.0000, 2.0711, 0.0000, 0.0000, 0.0000, 0.0000, 2.0711
2.0, 11.0, 4.0, 12.0, 214.0, 1.0000, 2.6188, 0.0000, 0.0000, 0.0000, 0.0000, 2.6188
2.0, 11.0, 4.0, 5.0, 51.0, 1.0000, 1.9051, 0.0000, 0.0000, 0.0000, 0.0000, 1.9051
1.0, 1.0, 5.0, 59.0, 2954.0, 0.5636, 2.9442, 0.2222, 4.4953, 0.2141, 4.6898, 3.6627
5.0, 1.0, 5.0, 13.0, 663.0, 0.9900, 2.7567, 0.0100, 4.2222, 0.0000, 0.0000, 2.7714
1.0, 1.0, 5.0, 24.0, 880.0, 0.8506, 2.7704, 0.1026, 4.1528, 0.0468, 4.8676, 3.0104
5.0, 1.0, 5.0, 9.0, 247.0, 0.9778, 2.9896, 0.0222, 4.0000, 0.0000, 0.0000, 3.0120
1.0, 1.0, 5.0, 8.0, 268.0, 0.9095, 2.9789, 0.0905, 4.0000, 0.0000, 0.0000, 3.0714
1.0, 3.0, 5.0, 51.0, 737.0, 0.9834, 2.6272, 0.0139, 4.1169, 0.0027, 4.5000, 2.6529
2.0, 3.0, 5.0, 2.0, 21.0, 1.0000, 2.5147, 0.0000, 0.0000, 0.0000, 0.0000, 2.5147
2.0, 3.0, 5.0, 4.0, 28.0, 1.0000, 2.2219, 0.0000, 0.0000, 0.0000, 0.0000, 2.2219
2.0, 3.0, 5.0, 2.0, 56.0, 1.0000, 3.2850, 0.0000, 0.0000, 0.0000, 0.0000, 3.2850
2.0, 3.0, 5.0, 7.0, 12.0, 1.0000, 2.0654, 0.0000, 0.0000, 0.0000, 0.0000, 2.0654
2.0, 3.0, 5.0, 2.0, 46.0, 1.0000, 2.2086, 0.0000, 0.0000, 0.0000, 0.0000, 2.2086
2.0, 4.0, 5.0, 11.0, 204.0, 1.0000, 2.5107, 0.0000, 0.0000, 0.0000, 0.0000, 2.5107
2.0, 6.0, 5.0, 10.0, 110.0, 1.0000, 2.5553, 0.0000, 0.0000, 0.0000, 0.0000, 2.5553
1.0, 8.0, 5.0, 25.0, 775.0, 0.7677, 2.8732, 0.1484, 4.2918, 0.0838, 4.6279, 3.2309
1.0, 8.0, 5.0, 202.0, 1784.0, 0.9532, 2.2901, 0.0396, 4.0928, 0.0072, 4.5000, 2.3774
1.0, 8.0, 5.0, 24.0, 965.0, 0.8092, 2.4298, 0.1386, 4.1760, 0.0521, 4.6452, 2.7874
1.0, 8.0, 5.0, 39.0, 1115.0, 0.8134, 2.7512, 0.1322, 4.2564, 0.0544, 4.6426, 3.0531
2.0, 10.0, 5.0, 21.0, 290.0, 1.0000, 2.8698, 0.0000, 0.0000, 0.0000, 0.0000, 2.8698
2.0, 10.0, 5.0, 10.0, 78.0, 1.0000, 2.5091, 0.0000, 0.0000, 0.0000, 0.0000, 2.5091
3.0, 10.0, 5.0, 30.0, 315.0, 1.0000, 2.7352, 0.0000, 0.0000, 0.0000, 0.0000, 2.7352
